criterion_id	statement	requirement_ids	module_ids	entity_ids	workflow_ids	acceptance_method	blocker	status
VSAC-004-001	The slice resolves CAP-D03-03-01 and KU-AD-02 without changing their IDs.	PR-004-008;PR-004-035	MOD-CUR	ENT-CUR-003;ENT-CUR-004	WF-004-007	Identifier and foreign-key test.	NONE	CANDIDATE_UNIMPLEMENTED
VSAC-004-002	Selected reviewed evidence retains exact source paths segments digests authority scope and citations.	PR-004-005;PR-004-007;PR-004-035	MOD-SRC;MOD-KNO	ENT-SRC-001;ENT-SRC-003;ENT-SRC-004;ENT-KNO-008	WF-004-002;WF-004-003;WF-004-004	Provenance resolution and digest tests.	NONE	CANDIDATE_UNIMPLEMENTED
VSAC-004-003	Technical lesson publication is blocked until a target Windows baseline is approved.	PR-004-036	MOD-SRC;MOD-KNO	ENT-SRC-004;ENT-KNO-006	WF-004-004;WF-004-005	Publication blocker negative test.	UR-004-001	CANDIDATE_UNIMPLEMENTED
VSAC-004-004	Technical lesson publication and real-transfer claims are blocked until applicable Microsoft Open Specifications are reviewed.	PR-004-036	MOD-SRC;MOD-KNO	ENT-SRC-004;ENT-KNO-006	WF-004-004;WF-004-005	Authority evidence and blocker test.	UR-004-002	CANDIDATE_UNIMPLEMENTED
VSAC-004-005	A Lesson Revision demonstrates distinct draft reviewed and immutable published states.	PR-004-009;PR-004-035	MOD-KNO	ENT-KNO-003;ENT-KNO-004;ENT-KNO-006	WF-004-006	State transition mutation and revision comparison tests.	NONE	CANDIDATE_UNIMPLEMENTED
VSAC-004-006	The authorization input identifies the principal and token user SID.	PR-004-017;PR-004-035	MOD-ENT;MOD-SIM	ENT-ENT-009;ENT-ENT-010;ENT-SIM-006	WF-004-012	Positive and missing-principal cases.	NONE	CANDIDATE_UNIMPLEMENTED
VSAC-004-007	The authorization input identifies ordered token group SIDs and attributes.	PR-004-017;PR-004-035	MOD-ENT;MOD-SIM	ENT-ENT-011;ENT-SIM-006	WF-004-012	Group allow and absent-group negative cases.	NONE	CANDIDATE_UNIMPLEMENTED
VSAC-004-008	The authorization input identifies relevant enabled privileges without assuming unsupported privilege semantics.	PR-004-017;PR-004-035	MOD-ENT;MOD-SIM	ENT-ENT-013;ENT-SIM-008	WF-004-012	Supported and unsupported privilege cases.	UR-004-001;UR-004-002	CANDIDATE_UNIMPLEMENTED
VSAC-004-009	The request identifies a target object and its declared object type.	PR-004-017;PR-004-035	MOD-ENT;MOD-SIM	ENT-ENT-032;ENT-SIM-006	WF-004-012	Object-present and missing-object cases.	NONE	CANDIDATE_UNIMPLEMENTED
VSAC-004-010	The request includes a security descriptor owner and ordered DACL ACEs.	PR-004-017;PR-004-035	MOD-ENT;MOD-SIM	ENT-ENT-032;ENT-SIM-006	WF-004-012	Descriptor validation and ordered trace tests.	NONE	CANDIDATE_UNIMPLEMENTED
VSAC-004-011	Each ACE records type trustee mask flags applicability and its evaluated or skipped reason.	PR-004-017;PR-004-035	MOD-SIM	ENT-SIM-007;ENT-SIM-008	WF-004-012	Per-ACE explanation assertions.	NONE	CANDIDATE_UNIMPLEMENTED
VSAC-004-012	The request includes a requested access mask and preserves unmapped bits in the trace.	PR-004-017;PR-004-035	MOD-SIM	ENT-SIM-006;ENT-SIM-007	WF-004-012	Full and partial-mask cases.	NONE	CANDIDATE_UNIMPLEMENTED
VSAC-004-013	Generic rights are mapped only when an approved object-type mapping is declared.	PR-004-017;PR-004-036	MOD-SIM	ENT-SIM-008	WF-004-012	Mapped and missing-mapping cases.	UR-004-001;UR-004-002	CANDIDATE_UNIMPLEMENTED
VSAC-004-014	Explicit deny and allow behavior is evaluated in the approved deterministic order.	PR-004-017;PR-004-035	MOD-SIM	ENT-SIM-007;ENT-SIM-008	WF-004-012	Deny-before-allow and allow cases.	UR-004-002	CANDIDATE_UNIMPLEMENTED
VSAC-004-015	Missing ambiguous unsupported or version-dependent state returns INSUFFICIENT_STATE or UNSUPPORTED_STATE rather than a guessed result.	PR-004-017;PR-004-036	MOD-SIM	ENT-SIM-007;ENT-SIM-008	WF-004-012	Incomplete descriptor and unsupported ACE tests.	NONE	CANDIDATE_UNIMPLEMENTED
VSAC-004-016	Every result provides a deterministic explanation containing normalized inputs rule IDs ACE effects mask changes decisive state and limitations.	PR-004-017;PR-004-035	MOD-SIM	ENT-SIM-007	WF-004-012	Golden trace and structural assertions.	NONE	CANDIDATE_UNIMPLEMENTED
VSAC-004-017	The case set includes positive negative permission syntax parameter and unsupported-state paths.	PR-004-012;PR-004-017;PR-004-035	MOD-SIM	ENT-SIM-002;ENT-SIM-007	WF-004-012	Scenario case suite.	NONE	CANDIDATE_UNIMPLEMENTED
VSAC-004-018	Evidence is labelled SIMULATED and binds run baseline scenario rule transition input result and digests.	PR-004-014;PR-004-035	MOD-EVD;MOD-SIM	ENT-EVD-001;ENT-EVD-002;ENT-SIM-005;ENT-SIM-007	WF-004-014	Evidence schema origin and digest tests.	NONE	CANDIDATE_UNIMPLEMENTED
VSAC-004-019	The same revision seed and ordered actions replay to the same trace.	PR-004-016;PR-004-017;PR-004-035	MOD-SIM	ENT-SIM-005;ENT-SIM-006;ENT-SIM-007	WF-004-013	Reset replay digest equality test.	NONE	CANDIDATE_UNIMPLEMENTED
VSAC-004-020	The Scenario Run cannot write the Enterprise Baseline and an improvement creates a proposal.	PR-004-016;PR-004-035	MOD-ENT;MOD-SIM	ENT-ENT-030;ENT-ENT-031;ENT-SIM-005	WF-004-011;WF-004-013	Forbidden repository capability and baseline hash tests.	NONE	CANDIDATE_UNIMPLEMENTED
VSAC-004-021	A micro practice requires one bounded access decision and explicit evidence rationale.	PR-004-011;PR-004-035	MOD-LRN	ENT-LRN-002;ENT-LRN-004	WF-004-008	Practice definition and attempt tests.	NONE	CANDIDATE_UNIMPLEMENTED
VSAC-004-022	Mastery evaluation requires accepted positive and negative evidence under a versioned provisional rule set.	PR-004-020;PR-004-035	MOD-LRN;MOD-EVD	ENT-LRN-006;ENT-LRN-007;ENT-EVD-003	WF-004-014;WF-004-015	Insufficient and sufficient evidence transition tests.	UR-004-003	CANDIDATE_UNIMPLEMENTED
VSAC-004-023	Incorrect decision missed decisive ACE mask error unsupported-state guess missing provenance or failed retention creates a specific ReviewTrigger.	PR-004-021;PR-004-035	MOD-LRN	ENT-LRN-008;ENT-LRN-009	WF-004-016	Failure-class parameterized tests.	UR-004-003	CANDIDATE_UNIMPLEMENTED
VSAC-004-024	No VS-001 action or displayed command invokes a host process network device or real connector.	PR-004-040;PR-004-043	MOD-SIM	ENT-SIM-008	WF-004-012	Architecture dependency and runtime isolation tests.	NONE	CANDIDATE_UNIMPLEMENTED

