decision_id	title	decision	status	rationale	alternatives	consequences	affected_tasks	revisit_trigger	source_references
DEC-004-001	Modular Monolith	Use one deployable Modular Monolith with explicit module ownership and typed internal contracts.	PROPOSED	Local-first complexity and current scale do not justify distribution.	Microservices;service mesh;unbounded layered monolith	One release and database with enforced boundaries.	TASK-006;TASK-007;TASK-008;TASK-009;TASK-010	Measured isolation scaling or independent-release need cannot be met in-process	ADR-001;TASK004-4.7
DEC-004-002	Laravel PHP backend	Use Laravel and PHP for backend and application services.	PROPOSED	Mature web security validation transactions queues and tests fit the product.	Node backend;Python backend;multiple backend languages	Task 006 selects and locks supported compatible versions.	TASK-006;TASK-007;TASK-008;TASK-009;TASK-010	Concrete blocking requirement or unsupported compatibility	ADR-002;TASK004-4.8
DEC-004-003	Vue Inertia TypeScript	Use Vue 3 TypeScript and Inertia in the same deployment unit with Tailwind.	PROPOSED	Dense interactive workspaces without default API/deployment split.	Server-only UI;separate SPA API	Strong client typing and one release unit.	TASK-006;TASK-007;TASK-008;TASK-009;TASK-010	Measured UX or deployment need proves split necessary	ADR-003;TASK004-4.8
DEC-004-004	PostgreSQL	Use PostgreSQL relational persistence and validated bounded JSONB.	PROPOSED	Integrity transactions search and bounded flexible payloads fit the model.	Graph database;document database;event-sourced primary store	Relational ownership remains primary.	TASK-006;TASK-007;TASK-008;TASK-009;TASK-010	Measured requirements cannot be satisfied after tuning	ADR-004;TASK004-4.9
DEC-004-005	Local first	Core v1 runs locally without public Internet and binds locally by default.	PROPOSED	Protects private educational material and reduces operational dependency.	Cloud-first SaaS;mandatory remote services	External lookup and manual AI are explicit user activities.	TASK-006;TASK-010	Approved remote or controlled multi-user deployment requirement	ADR-005;TASK004-4.6
DEC-004-006	Structured blocks	Use registered typed schema-versioned content blocks; Markdown is import export only.	PROPOSED	Supports editing provenance validation and safe rendering.	Markdown-only;arbitrary JSON;raw HTML	Requires registry migrations and block-level diffs.	TASK-007;TASK-008;TASK-009	A required content type cannot fit versioned registry rules	ADR-006;TASK004-8
DEC-004-007	Immutable publication	Published knowledge lessons baselines and scenario definitions are immutable revisions.	PROPOSED	Protects auditability restoration and deterministic replay.	In-place edit;primary event sourcing	Corrections and restoration publish new revisions.	TASK-007;TASK-008;TASK-009;TASK-010	Never without an approved migration and audit redesign	ADR-007;TASK004-8
DEC-004-008	Simulator first	Institutional Simulator is default Guided Lab; Real-Lab is selective and claim-specific.	PROPOSED	Enables safe repeatable institutional practice while preserving fidelity boundaries.	VMware-first;static outputs;universal real lab	All evidence carries origin and simulation must be stateful.	TASK-007;TASK-008;TASK-009	Claim-specific fidelity review requires external validation	ADR-008;AGENTS.md
DEC-004-009	Isolated Scenario Runs	Runs snapshot baselines and never directly mutate persistent Enterprise Baselines.	PROPOSED	Enables reset replay comparison and protects truth.	Mutable shared baseline per run	Improvements use reviewed proposals.	TASK-007;TASK-008;TASK-009	No revisit for v1; any change requires explicit approval	ADR-009;TASK004-10
DEC-004-010	Manual AI only	AIInteractionPort supports Manual AI Bridge file exchange and human review only.	PROPOSED	Current governance prohibits automated provider API and local model paths.	OpenAI API;provider abstraction;local model;embeddings	No credentials calls polling metering or provider framework.	TASK-010	Only a future explicitly approved roadmap change	ADR-010;AGENTS.md
DEC-004-011	Postgres search and queue	Use PostgreSQL full-text search and database-backed queue initially.	PROPOSED	Avoids unproven infrastructure while supporting v1 workload.	Redis;Kafka;search cluster	Requires ProcessingRun idempotency retry and authorization-aware indexing.	TASK-006;TASK-010	Measured relevance latency throughput or availability target fails after tuning	ADR-011;TASK004-4.9
DEC-004-012	Local single owner	v1 has one authenticated local owner; workflow personas and simulated roles are not accounts.	PROPOSED	Bounds access security and delivery while retaining future conceptual extensibility.	No auth;multi-user;SaaS multi-tenant	No public registration billing or collaboration.	TASK-006;TASK-010	Approved controlled multi-user use case and threat model	ADR-012;TASK004-6
DEC-004-013	Source custody provenance	Preserve immutable originals and separate derivatives claims knowledge presentation and learner state.	PROPOSED	Provides truthful authority version and citation boundaries.	Mutable imported files;filename authority	Storage and every publication retain digests and anchors.	TASK-007;TASK-008;TASK-009;TASK-010	Never for custody; adapters may change while semantics remain	ADR-013;AGENTS.md
DEC-004-014	No real execution connectors	v1 has no host device cloud SSH WinRM or production execution connectors.	PROPOSED	Prevents simulation from becoming unsafe operations.	Generalized connector framework;lab automation foundation	Commands are display or deterministic simulation inputs only.	TASK-007;TASK-008;TASK-009;TASK-010	Separate approved post-v1 connector decision threat model and isolation proof	ADR-014;TASK004-23

