module_id	module_name	purpose	owned_entities	owned_data_concepts	public_application_services	inbound_dependencies	outbound_dependencies	internal_messages	security_boundary	v1_scope	deferred_scope	vs001_participation	status
MOD-IAM	Platform Identity and Access	Authenticate the local owner and enforce application authorization.	OwnerAccount;OwnerCredential;ApplicationSession;AuthorizationDecision	credentials;sessions;application permissions	AuthenticateOwner;EndSession;AuthorizeAction	MOD-PLT	MOD-PLT	OwnerAuthenticated;SessionRevoked	Password and session material are visible only inside this module.	One local owner secure password sessions CSRF and server-side authorization.	Multi-user tenants registration federation billing	Protect every VS-001 author review run and evidence mutation.	CANDIDATE
MOD-SRC	Source Library and Ingestion	Preserve custody and create reviewed addressable source evidence.	OriginalSource;ExtractedRepresentation;SourceSegment;AuthorityAssessment;Claim;ClaimSupport;ConflictRecord;ExtractionRun	custody;digests;extraction;anchors;authority;claims	RegisterSource;StartExtraction;ReviewAuthority;ResolveSegment	MOD-IAM;MOD-PLT	MOD-KNO;MOD-PLT	SourceRegistered;ExtractionCompleted;SourceReviewChanged	All imported bytes and external claims are untrusted.	Bounded safe local import extraction state segments authority and provenance.	Crawler broad OCR automated publication	Supply selected reviewed evidence and publication blockers.	CANDIDATE
MOD-KNO	Knowledge and Publication	Own canonical knowledge structured lessons review and immutable publication.	KnowledgeItem;KnowledgeRevision;Lesson;LessonRevision;ContentBlockRevision;PublicationReview;ImpactAssessment;CitationLink	canonical identity;typed blocks;drafts;publication;impact	CreateKnowledgeDraft;CreateLessonDraft;ValidateBlocks;ReviewRevision;PublishRevision;RestoreRevision	MOD-SRC;MOD-IAM;MOD-PLT	MOD-CUR;MOD-LRN;MOD-PLT	KnowledgePublished;LessonPublished;ImpactRequested	Only reviewed revisions may publish and rendering must be safe.	Knowledge and lesson drafts typed blocks comparison review immutable revisions.	Broad curriculum authoring collaborative editing	Publish the bounded KU-AD-02 lesson after authority resolution.	CANDIDATE
MOD-CUR	Curriculum and Capability	Own the approved coverage hierarchy KU identity and path templates.	Domain;CapabilityCluster;Capability;KnowledgeUnit;CapabilityRelationship;LearningPathTemplate	taxonomy;prerequisites;context relationships;lifecycle templates	ResolveCapability;ValidateHierarchy;PublishPathTemplate	MOD-KNO;MOD-PLT	MOD-LRN	CapabilityDefinitionChanged;PathTemplatePublished	Canonical KUs remain singular and taxonomy changes require governance.	16-Domain expansion architecture and bounded vertical-slice definitions.	Finished content for all provisional KUs	Own CAP-D03-03-01 KU-AD-02 and lifecycle links.	CANDIDATE
MOD-LRN	Learning and Mastery	Schedule learning record attempts evaluate evidence-backed mastery and failure review.	DiagnosticDefinition;PracticeDefinition;LabDefinition;Attempt;AttemptEvent;MasteryRuleSet;MasteryState;ReviewTrigger;ReviewSchedule;ProjectIntegration	adaptive queue;attempts;mastery;retention;review	BuildDailyQueue;StartAttempt;CompleteAttempt;EvaluateMastery;ScheduleReview	MOD-CUR;MOD-KNO;MOD-SIM;MOD-EVD;MOD-PLT	MOD-EVD;MOD-PLT	AttemptCompleted;MasteryChanged;ReviewScheduled	Thresholds are provisional and every state transition retains evidence and rule version.	Daily queue diagnostics practices attempts mastery and failure review.	Empirical calibration social learning cohort analytics	Own micro practice attempt mastery transition and failure review.	CANDIDATE
MOD-ENT	Enterprise Catalog	Own reusable institutional catalogs and immutable enterprise baseline revisions.	Organization;Site;Network;Zone;Asset;System;Service;Application;SimulatedIdentity;Account;Group;SimulatedRole;Privilege;Trust;DataAsset;Policy;Control;Risk;Threat;Finding;Vulnerability;Detection;Alert;Incident;Procedure;Runbook;EvidenceRequirementDefinition;ResponsibilityAssignment;EnterpriseBaseline;EnterpriseBaselineRevision;BaselineChangeProposal;TargetObject	catalogs;relationships;ownership;approved state	ManageCatalog;ValidateRelationships;PublishBaselineRevision;ProposeBaselineChange	MOD-IAM;MOD-PLT	MOD-SIM	BaselinePublished;BaselineChangeProposed	Scenario Runs have no mutation capability over baseline storage.	Reusable catalogs relationships and immutable baseline revisions.	Production discovery sync connectors	Provide VS-001 identities groups privileges object policy and baseline.	CANDIDATE
MOD-SIM	Simulation and Scenario	Author scenario definitions and execute isolated deterministic simulated Runs.	ScenarioDefinition;ScenarioDefinitionRevision;ScenarioNodeRevision;ScenarioPackage;ScenarioRun;RunState;SimulationTransition;SimulationRuleSet;DeviceContext	scenario graph;rules;run snapshot;trace;replay	CreateScenarioDraft;PublishScenarioRevision;StartRun;ApplySimulatedAction;ResetRun;ReplayRun	MOD-ENT;MOD-CUR;MOD-IAM;MOD-PLT	MOD-EVD;MOD-LRN;MOD-PLT	RunStarted;SimulatedActionEvaluated;RunCompleted	No host process network device or real-execution port exists in v1.	Visual Studio packages isolated runs deterministic simulator reset replay.	Real connectors production orchestration	Evaluate bounded Windows authorization inputs and produce explanation trace.	CANDIDATE
MOD-EVD	Evidence and Portfolio	Own evidence origin integrity decisions and portfolio views.	Evidence;EvidenceBlob;EvidenceDecision;PortfolioEntry	origin;digest;criteria;decision;presentation	RegisterEvidence;VerifyEvidence;DecideEvidence;BuildPortfolioView	MOD-SIM;MOD-LRN;MOD-IAM;MOD-PLT	MOD-LRN	EvidenceRecorded;EvidenceDecisionChanged	Evidence origin and producer links cannot be rewritten.	Four evidence origins integrity review and bounded portfolio.	Public credentialing external attestations	Store SIMULATED trace evidence and decision.	CANDIDATE
MOD-AIB	Manual AI Bridge	Control manual prompt-package export result import validation and human decision.	PromptPackage;PromptPackageRevision;ImportedResult;ValidationResult;AIProposalDecision	export scope;requested schema;import digest;proposal diff;human decision	DraftPackage;ExportPackage;ImportResult;ValidateResult;DecideProposal	MOD-SRC;MOD-KNO;MOD-IAM;MOD-PLT	MOD-SRC;MOD-KNO;MOD-CUR;MOD-PLT	PackageExported;ResultValidated;ProposalDecided	Export is explicit and imported data remains untrusted until human review.	Manual ChatGPT Plus file exchange only.	Provider API local model credentials polling metering embeddings	Optional proposals may create drafts only and cannot decide VS-001 semantics.	CANDIDATE
MOD-PLT	Platform Services	Provide stable audit blob search queue package backup restore and health primitives.	AuditRecord;BlobObject;SearchDocument;ProcessingRun;OutboxMessage;ExportPackage;BackupManifest;RestoreRun	audit;files;search;queue;packages;recoverability;health	AppendAudit;StoreBlob;Search;EnqueueProcessing;Export;CreateBackup;StageRestore;HealthCheck	MOD-IAM	NONE	ProcessingRunChanged;BackupVerified;RestoreVerified	Secrets local exposure blob integrity and recovery are controlled here.	PostgreSQL search database queue local blobs audit packages backup restore.	Cloud telemetry Redis broker search cluster remote object store	Provide audit digests processing search and recoverability for VS-001.	CANDIDATE
