requirement_id	requirement_type	statement	rationale	priority	scope	owning_module	acceptance_method	source_decision_references	status
PR-004-001	PRINCIPLE	The product shall remain an independent Cybersecurity Learning and Operations Simulation Platform and shall not be represented as CARE or a production security tool.	Prevents identity and authority drift.	MUST	V1	MOD-PLT	Architecture and release-claim review	AGENTS.md;TASK004-4.1	PRINCIPLE_CANDIDATE
PR-004-002	BOUNDARY	v1 product completeness shall mean coherent secure recoverable core workflows and tested vertical slices, not complete curriculum across all Domains.	Prevents false curriculum claims.	MUST	V1	MOD-CUR	Scope and release-evidence review	TASK004-4.2;DEC-004-012	CANDIDATE_UNIMPLEMENTED
PR-004-003	SECURITY	v1 shall require one local owner account with secure password handling, protected sessions, CSRF defense, and explicit sign-out.	Local deployment still requires authentication.	MUST	V1	MOD-IAM	Authentication and session security tests	TASK004-6;DEC-004-012	CANDIDATE_UNIMPLEMENTED
PR-004-004	BOUNDARY	Application permissions and simulated professional roles shall be separate models.	Scenario roles must not grant product authority.	MUST	V1	MOD-IAM	Negative authorization and scenario-role tests	TASK004-6	CANDIDATE_UNIMPLEMENTED
PR-004-005	FUNCTIONAL	The system shall preserve immutable original source custody with digest authorization metadata and import history.	All downstream trust begins with preserved custody.	MUST	V1	MOD-SRC	Byte-integrity lifecycle and audit tests	AGENTS.md;DEC-004-013	CANDIDATE_UNIMPLEMENTED
PR-004-006	SECURITY	Imports shall be quarantined path-safe size-limited type-validated and non-executing.	Sources and packages are untrusted.	MUST	V1	MOD-SRC	Malicious-file traversal archive and MIME tests	TASK004-12;SEC-004-001	CANDIDATE_UNIMPLEMENTED
PR-004-007	FUNCTIONAL	Source segments claims and citations shall preserve stable anchors digests authority applicability conflicts and review status.	Filenames and generated labels are not authority.	MUST	V1	MOD-SRC	Foreign-key digest and citation-resolution tests	AGENTS.md;DEC-004-013	CANDIDATE_UNIMPLEMENTED
PR-004-008	PRINCIPLE	Canonical Knowledge Units shall remain singular and contextual reuse shall use typed relationships.	Avoids duplicated canonical truth.	MUST	V1	MOD-CUR	Uniqueness and relationship-integrity tests	AGENTS.md;TASK003R	PRINCIPLE_CANDIDATE
PR-004-009	FUNCTIONAL	Published knowledge lesson enterprise baseline and scenario definition revisions shall be immutable and restoration shall publish a new revision.	Protects history and reproducibility.	MUST	V1	MOD-KNO	Mutation rejection revision and restoration tests	DEC-004-007	CANDIDATE_UNIMPLEMENTED
PR-004-010	FUNCTIONAL	Runtime lesson content shall use registered typed versioned blocks with allowlisted payload fields nesting size and renderer rules.	Avoids arbitrary JSON and unsafe rendering.	MUST	V1	MOD-KNO	Schema invalid-payload nesting and renderer tests	DEC-004-006	CANDIDATE_UNIMPLEMENTED
PR-004-011	FUNCTIONAL	The adaptive lifecycle shall support lesson micro practice Guided Simulator Lab selective Real-Lab evidence mastery and failure review with stages selected per KU.	Learning must be capability-specific rather than uniform completion.	MUST	V1	MOD-LRN	Lifecycle-template and omitted-stage tests	AGENTS.md;TASK004-4.3	CANDIDATE_UNIMPLEMENTED
PR-004-012	FUNCTIONAL	The Institutional Simulator shall be the default Guided Lab path and shall be stateful identity-aware permission-aware and policy-aware.	Provides repeatable institutional practice without mandatory real environments.	MUST	V1	MOD-SIM	Scenario positive negative state and permission tests	DEC-004-008	CANDIDATE_UNIMPLEMENTED
PR-004-013	BOUNDARY	Real-Lab Validation shall be optional recommended or required for a specific claim and never universal.	Simulation fidelity varies by claim.	MUST	V1	MOD-LRN	Classification allowlist and claim-boundary tests	AGENTS.md;DEC-004-008	CANDIDATE_UNIMPLEMENTED
PR-004-014	FUNCTIONAL	Every evidence record shall identify origin as SIMULATED REAL_LAB MANUAL_ASSESSMENT or SOURCE_REVIEW.	Prevents false competence claims.	MUST	V1	MOD-EVD	Origin constraint and UI-label tests	TASK004-4.4	CANDIDATE_UNIMPLEMENTED
PR-004-015	FUNCTIONAL	Reusable organizations sites networks assets identities policies controls risks findings detections procedures and related enterprise concepts shall be persistent catalogs.	Scenarios must reuse institutional truth.	MUST	V1	MOD-ENT	Catalog ownership and baseline-reference tests	TASK004-10	CANDIDATE_UNIMPLEMENTED
PR-004-016	FUNCTIONAL	A Scenario Run shall use an isolated snapshot and shall never silently mutate an Enterprise Baseline.	Protects persistent enterprise truth and replay.	MUST	V1	MOD-SIM	Baseline hash and forbidden-write tests	DEC-004-009	CANDIDATE_UNIMPLEMENTED
PR-004-017	FUNCTIONAL	Simulation shall produce a deterministic explanation trace from versioned baseline scenario identity permissions action rules prior state and seed.	Static output and opaque decisions do not establish practice.	MUST	V1	MOD-SIM	Repeat reset replay and trace-diff tests	TASK004-10;DEC-004-008	CANDIDATE_UNIMPLEMENTED
PR-004-018	FUNCTIONAL	A visual Scenario Studio shall be the primary scenario authoring path.	Normal users must not hand-edit packages.	MUST	V1	MOD-SIM	Keyboard-accessible authoring and reference-validation tests	TASK004-10	CANDIDATE_UNIMPLEMENTED
PR-004-019	FUNCTIONAL	Scenario Packages shall be portable versioned manifested representations of the same Studio model and shall import as untrusted drafts.	Supports reuse without creating a second model.	SHOULD	V1	MOD-SIM	Round-trip schema digest and tamper tests	TASK004-10	CANDIDATE_UNIMPLEMENTED
PR-004-020	FUNCTIONAL	Mastery shall use capability-specific evidence rules and candidate states rather than a percentage-complete value.	Completion is not competence.	MUST	V1	MOD-LRN	Rule-revision transition and rejected-percentage tests	TASK004-9	CANDIDATE_UNIMPLEMENTED
PR-004-021	FUNCTIONAL	The daily queue shall explain selection and schedule failure-specific and retention-specific review.	Adaptive actions must be inspectable.	MUST	V1	MOD-LRN	Queue rationale priority and review-trigger tests	PRODUCT_CHARTER	CANDIDATE_UNIMPLEMENTED
PR-004-022	BOUNDARY	AIInteractionPort shall provide only Manual AI Bridge export manual ChatGPT Plus processing structured import validation and human review.	Current decision deliberately excludes automated AI.	MUST	V1	MOD-AIB	Architecture scan status-machine and no-network-call tests	AGENTS.md;DEC-004-010	CANDIDATE_UNIMPLEMENTED
PR-004-023	QUALITY	Core v1 workflows shall operate locally without public Internet.	Protects privacy and availability.	MUST	V1	MOD-PLT	Network-disabled end-to-end tests	DEC-004-005	CANDIDATE_UNIMPLEMENTED
PR-004-024	ARCHITECTURE	The application shall be one deployable Modular Monolith with explicit module ownership and internal contracts.	Minimizes operations without losing boundaries.	MUST	V1	MOD-PLT	Dependency and deployment-unit architecture tests	DEC-004-001	CANDIDATE_UNIMPLEMENTED
PR-004-025	ARCHITECTURE	The preferred foundation shall be Laravel PHP Vue 3 TypeScript Inertia PostgreSQL Tailwind and WSL2 Docker Compose with exact supported versions selected and locked in Task 006.	Provides a coherent locally operable stack without stale version assumptions.	MUST	V1	MOD-PLT	Environment compatibility lockfile and version report	DEC-004-002;DEC-004-003;DEC-004-004	CANDIDATE_UNIMPLEMENTED
PR-004-026	ARCHITECTURE	PostgreSQL relational storage shall be primary and JSONB shall be limited to registered validated type-specific payloads.	Preserves integrity while supporting bounded variation.	MUST	V1	MOD-PLT	Schema constraints and invalid-JSONB tests	DEC-004-004	CANDIDATE_UNIMPLEMENTED
PR-004-027	ARCHITECTURE	PostgreSQL full-text search shall be the initial search service and shall enforce authorization and provenance-aware results.	Avoids premature search infrastructure.	SHOULD	V1	MOD-PLT	Arabic English relevance authorization and snippet tests	DEC-004-011	CANDIDATE_UNIMPLEMENTED
PR-004-028	ARCHITECTURE	The initial asynchronous mechanism shall be a database-backed queue with ProcessingRun idempotency lease retry and terminal-failure state.	Makes work recoverable without a broker.	SHOULD	V1	MOD-PLT	Duplicate retry timeout cancellation and recovery tests	DEC-004-011	CANDIDATE_UNIMPLEMENTED
