trace_id	requirement_id	decision_ids	module_ids	entity_workflow_ids	ux_requirement_ids	security_requirement_ids	vs001_criterion_ids	future_task	status
TRACE-004-001	PR-004-001	DEC-004-001	MOD-PLT	ENT-PLT-001;WF-004-019	NONE	NONE	NONE	TASK-006;TASK-010	CANDIDATE_UNIMPLEMENTED
TRACE-004-002	PR-004-002	DEC-004-012;DEC-004-006	MOD-CUR	ENT-CUR-004;WF-004-007	UX-004-012	NONE	NONE	TASK-007;TASK-008;TASK-009	CANDIDATE_UNIMPLEMENTED
TRACE-004-003	PR-004-003	DEC-004-012	MOD-IAM	ENT-IAM-001;WF-004-001	NONE	SEC-004-012;SEC-004-020;SEC-004-021;SEC-004-022	NONE	TASK-006	CANDIDATE_UNIMPLEMENTED
TRACE-004-004	PR-004-004	DEC-004-012	MOD-IAM	ENT-IAM-001;WF-004-001	NONE	SEC-004-012	NONE	TASK-006	CANDIDATE_UNIMPLEMENTED
TRACE-004-005	PR-004-005	DEC-004-013	MOD-SRC	ENT-SRC-001;WF-004-002	UX-004-009	SEC-004-008	VSAC-004-002	TASK-007;TASK-008;TASK-009	CANDIDATE_UNIMPLEMENTED
TRACE-004-006	PR-004-006	DEC-004-013	MOD-SRC	ENT-SRC-001;WF-004-002	NONE	SEC-004-001;SEC-004-002;SEC-004-003;SEC-004-004;SEC-004-026	NONE	TASK-007;TASK-008;TASK-009	CANDIDATE_UNIMPLEMENTED
TRACE-004-007	PR-004-007	DEC-004-013	MOD-SRC	ENT-SRC-001;WF-004-002	UX-004-009;UX-004-018	SEC-004-011	VSAC-004-002	TASK-007;TASK-008;TASK-009	CANDIDATE_UNIMPLEMENTED
TRACE-004-008	PR-004-008	DEC-004-006	MOD-CUR	ENT-CUR-004;WF-004-007	UX-004-012	NONE	VSAC-004-001	TASK-007;TASK-008;TASK-009	CANDIDATE_UNIMPLEMENTED
TRACE-004-009	PR-004-009	DEC-004-007	MOD-KNO	ENT-KNO-002;WF-004-005	UX-004-010;UX-004-019	SEC-004-015	VSAC-004-005	TASK-007;TASK-008;TASK-009	CANDIDATE_UNIMPLEMENTED
TRACE-004-010	PR-004-010	DEC-004-006;DEC-004-007	MOD-KNO	ENT-KNO-002;WF-004-005	UX-004-010;UX-004-011;UX-004-017	SEC-004-005;SEC-004-006	NONE	TASK-007;TASK-008;TASK-009	CANDIDATE_UNIMPLEMENTED
TRACE-004-011	PR-004-011	DEC-004-008	MOD-LRN	ENT-LRN-007;WF-004-015	NONE	NONE	VSAC-004-021	TASK-007;TASK-008;TASK-009	CANDIDATE_UNIMPLEMENTED
TRACE-004-012	PR-004-012	DEC-004-008	MOD-SIM	ENT-SIM-005;WF-004-012	UX-004-013	NONE	VSAC-004-017	TASK-007;TASK-008;TASK-009	CANDIDATE_UNIMPLEMENTED
TRACE-004-013	PR-004-013	DEC-004-008	MOD-LRN	ENT-LRN-007;WF-004-015	NONE	NONE	NONE	TASK-007;TASK-008;TASK-009	CANDIDATE_UNIMPLEMENTED
TRACE-004-014	PR-004-014	DEC-004-008	MOD-EVD	ENT-EVD-001;WF-004-014	UX-004-002;UX-004-013;UX-004-015;UX-004-018;UX-004-020	SEC-004-013;SEC-004-014	VSAC-004-018	TASK-007;TASK-008;TASK-009	CANDIDATE_UNIMPLEMENTED
TRACE-004-015	PR-004-015	DEC-004-009	MOD-ENT	ENT-ENT-030;WF-004-009	UX-004-014	NONE	NONE	TASK-007;TASK-008;TASK-009	CANDIDATE_UNIMPLEMENTED
TRACE-004-016	PR-004-016	DEC-004-009;DEC-004-008	MOD-SIM	ENT-SIM-005;WF-004-012	UX-004-014	NONE	VSAC-004-019;VSAC-004-020	TASK-007;TASK-008;TASK-009	CANDIDATE_UNIMPLEMENTED
TRACE-004-017	PR-004-017	DEC-004-008	MOD-SIM	ENT-SIM-005;WF-004-012	UX-004-013	NONE	VSAC-004-006;VSAC-004-007;VSAC-004-008;VSAC-004-009;VSAC-004-010;VSAC-004-011;VSAC-004-012;VSAC-004-013;VSAC-004-014;VSAC-004-015;VSAC-004-016;VSAC-004-017;VSAC-004-019	TASK-007;TASK-008;TASK-009	CANDIDATE_UNIMPLEMENTED
TRACE-004-018	PR-004-018	DEC-004-008	MOD-SIM	ENT-SIM-005;WF-004-012	UX-004-014	NONE	NONE	TASK-007;TASK-008;TASK-009	CANDIDATE_UNIMPLEMENTED
TRACE-004-019	PR-004-019	DEC-004-008	MOD-SIM	ENT-SIM-005;WF-004-012	NONE	NONE	NONE	TASK-007;TASK-008;TASK-009	CANDIDATE_UNIMPLEMENTED
TRACE-004-020	PR-004-020	DEC-004-008	MOD-LRN	ENT-LRN-007;WF-004-015	UX-004-015	NONE	VSAC-004-022	TASK-007;TASK-008;TASK-009	CANDIDATE_UNIMPLEMENTED
TRACE-004-021	PR-004-021	DEC-004-008	MOD-LRN	ENT-LRN-007;WF-004-015	UX-004-008;UX-004-015	NONE	VSAC-004-023	TASK-007;TASK-008;TASK-009	CANDIDATE_UNIMPLEMENTED
TRACE-004-022	PR-004-022	DEC-004-010	MOD-AIB	ENT-AIB-002;WF-004-018	UX-004-016	SEC-004-009;SEC-004-010;SEC-004-011	NONE	TASK-010	CANDIDATE_UNIMPLEMENTED
TRACE-004-023	PR-004-023	DEC-004-005;DEC-004-001	MOD-PLT	ENT-PLT-001;WF-004-019	UX-004-001	SEC-004-020	NONE	TASK-006;TASK-010	CANDIDATE_UNIMPLEMENTED
TRACE-004-024	PR-004-024	DEC-004-001	MOD-PLT	ENT-PLT-001;WF-004-019	NONE	NONE	NONE	TASK-006;TASK-010	CANDIDATE_UNIMPLEMENTED
TRACE-004-025	PR-004-025	DEC-004-002;DEC-004-003;DEC-004-004;DEC-004-001	MOD-PLT	ENT-PLT-001;WF-004-019	NONE	SEC-004-018	NONE	TASK-006	CANDIDATE_UNIMPLEMENTED
TRACE-004-026	PR-004-026	DEC-004-004;DEC-004-001	MOD-PLT	ENT-PLT-001;WF-004-019	NONE	SEC-004-023	NONE	TASK-006;TASK-010	CANDIDATE_UNIMPLEMENTED
TRACE-004-027	PR-004-027	DEC-004-011;DEC-004-001	MOD-PLT	ENT-PLT-001;WF-004-019	NONE	NONE	NONE	TASK-010	CANDIDATE_UNIMPLEMENTED
TRACE-004-028	PR-004-028	DEC-004-011;DEC-004-001	MOD-PLT	ENT-PLT-001;WF-004-019	NONE	SEC-004-003;SEC-004-025	NONE	TASK-010	CANDIDATE_UNIMPLEMENTED
TRACE-004-029	PR-004-029	DEC-004-001	MOD-PLT	ENT-PLT-001;WF-004-019	NONE	SEC-004-008;SEC-004-016;SEC-004-024	NONE	TASK-010	CANDIDATE_UNIMPLEMENTED
TRACE-004-030	PR-004-030	DEC-004-001	MOD-PLT	ENT-PLT-001;WF-004-019	UX-004-016	SEC-004-002;SEC-004-009;SEC-004-010	NONE	TASK-010	CANDIDATE_UNIMPLEMENTED
TRACE-004-031	PR-004-031	DEC-004-001	MOD-PLT	ENT-PLT-001;WF-004-019	UX-004-019	SEC-004-015;SEC-004-017;SEC-004-019;SEC-004-023	NONE	TASK-010	CANDIDATE_UNIMPLEMENTED
TRACE-004-032	PR-004-032	DEC-004-001	MOD-PLT	ENT-PLT-001;WF-004-019	NONE	SEC-004-005;SEC-004-014;SEC-004-016;SEC-004-017;SEC-004-026	NONE	TASK-010	CANDIDATE_UNIMPLEMENTED
TRACE-004-033	PR-004-033	DEC-004-001	MOD-PLT	ENT-PLT-001;WF-004-019	UX-004-005;UX-004-006;UX-004-022	NONE	NONE	TASK-010	CANDIDATE_UNIMPLEMENTED
TRACE-004-034	PR-004-034	DEC-004-001	MOD-PLT	ENT-PLT-001;WF-004-019	UX-004-001;UX-004-003;UX-004-004;UX-004-007;UX-004-021	NONE	NONE	TASK-010	CANDIDATE_UNIMPLEMENTED
TRACE-004-035	PR-004-035	DEC-004-008	MOD-SIM	ENT-SIM-005;WF-004-012	UX-004-013	NONE	VSAC-004-001;VSAC-004-002;VSAC-004-005;VSAC-004-006;VSAC-004-007;VSAC-004-008;VSAC-004-009;VSAC-004-010;VSAC-004-011;VSAC-004-012;VSAC-004-014;VSAC-004-016;VSAC-004-017;VSAC-004-018;VSAC-004-019;VSAC-004-020;VSAC-004-021;VSAC-004-022;VSAC-004-023	TASK-007	CANDIDATE_UNIMPLEMENTED
TRACE-004-036	PR-004-036	DEC-004-007	MOD-KNO	ENT-KNO-002;WF-004-005	NONE	NONE	VSAC-004-003;VSAC-004-004;VSAC-004-013;VSAC-004-015	TASK-007	CANDIDATE_UNIMPLEMENTED
TRACE-004-037	PR-004-037	DEC-004-001	MOD-PLT	ENT-PLT-001;WF-004-019	NONE	NONE	NONE	TASK-006;TASK-007;TASK-008;TASK-009;TASK-010	CANDIDATE_UNIMPLEMENTED
TRACE-004-038	PR-004-038	DEC-004-006	MOD-CUR	ENT-CUR-004;WF-004-007	UX-004-012	NONE	NONE	TASK-007;TASK-008;TASK-009	CANDIDATE_UNIMPLEMENTED
TRACE-004-039	PR-004-039	DEC-004-001;DEC-004-004;DEC-004-010;DEC-004-011	MOD-PLT	ENT-PLT-001;WF-004-019	NONE	SEC-004-018	NONE	TASK-006;TASK-010	CANDIDATE_UNIMPLEMENTED
TRACE-004-040	PR-004-040	DEC-004-014;DEC-004-008	MOD-SIM	ENT-SIM-005;WF-004-012	UX-004-020;UX-004-022	SEC-004-007	VSAC-004-024	TASK-007;TASK-008;TASK-009	CANDIDATE_UNIMPLEMENTED
TRACE-004-041	PR-004-041	DEC-004-012	MOD-IAM	ENT-IAM-001;WF-004-001	NONE	SEC-004-027	NONE	TASK-006	CANDIDATE_UNIMPLEMENTED
TRACE-004-042	PR-004-042	DEC-004-001	MOD-PLT	ENT-PLT-001;WF-004-019	UX-004-002	NONE	NONE	TASK-006;TASK-010	CANDIDATE_UNIMPLEMENTED
TRACE-004-043	PR-004-043	DEC-004-014;DEC-004-008	MOD-SIM	ENT-SIM-005;WF-004-012	NONE	SEC-004-007;SEC-004-013	VSAC-004-024	TASK-007;TASK-008;TASK-009	CANDIDATE_UNIMPLEMENTED

