entity_id	entity_name	owning_module	persistence_class	mutability	authoritative_source	lifecycle_notes	vs001_required	status
ENT-IAM-001	OwnerAccount	MOD-IAM	CURRENT_WITH_HISTORY	VERSIONED_MUTABLE	MOD-IAM	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-IAM-002	OwnerCredential	MOD-IAM	SECRET	CONTROLLED_MUTABLE_SECRET	MOD-IAM	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-IAM-003	ApplicationSession	MOD-IAM	EPHEMERAL_AUDITED	VERSIONED_MUTABLE	MOD-IAM	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-IAM-004	AuthorizationDecision	MOD-IAM	APPEND_ONLY	APPEND_ONLY	MOD-IAM	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-SRC-001	OriginalSource	MOD-SRC	IMMUTABLE_CUSTODY	IMMUTABLE	MOD-SRC	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-SRC-002	ExtractedRepresentation	MOD-SRC	IMMUTABLE_DERIVATIVE	IMMUTABLE	MOD-SRC	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-SRC-003	SourceSegment	MOD-SRC	IMMUTABLE_DERIVATIVE	IMMUTABLE	MOD-SRC	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-SRC-004	AuthorityAssessment	MOD-SRC	REVISIONED	VERSIONED_MUTABLE	MOD-SRC	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-SRC-005	Claim	MOD-SRC	REVISIONED	VERSIONED_MUTABLE	MOD-SRC	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-SRC-006	ClaimSupport	MOD-SRC	IMMUTABLE_RELATION	IMMUTABLE	MOD-SRC	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-SRC-007	ConflictRecord	MOD-SRC	REVISIONED	VERSIONED_MUTABLE	MOD-SRC	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-SRC-008	ExtractionRun	MOD-SRC	APPEND_ONLY	APPEND_ONLY	MOD-SRC	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
ENT-KNO-001	KnowledgeItem	MOD-KNO	CURRENT_WITH_HISTORY	VERSIONED_MUTABLE	MOD-KNO	Only the owning module may create or mutate this entity; lifecycle follows its persistence class.	YES	CANDIDATE
