entity_id	module_id	name	classification	reason	criterion_ids	workflow_ids	persistence_class	mutability	implemented
ENT-SRC-001	MOD-SRC	SourceRecord	REQUIRED_FOR_VS001	Preserves reviewed path/URL digest authority and status	VSAC-004-002	WF-004-002	PostgreSQL source_records	mutable review metadata; no original content	YES
ENT-SRC-003	MOD-SRC	SourceClaim	REQUIRED_FOR_VS001	Maps exact segment and scope to source	VSAC-004-002	WF-004-003	PostgreSQL source_claims	append/review controlled	YES
ENT-SRC-004	MOD-SRC	AuthorityAssessment	REQUIRED_FOR_VS001	Publication gate distinguishes technical authority	VSAC-004-002;VSAC-004-003;VSAC-004-004	WF-004-004	SourceRecord/SourceClaim fields	controlled	YES
ENT-KNO-003	MOD-KNO	KnowledgeUnit	REQUIRED_FOR_VS001	Canonical KU-AD-02 identity	VSAC-004-001;VSAC-004-005	WF-004-006	PostgreSQL knowledge_units	stable identity	YES
ENT-KNO-004	MOD-KNO	LessonRevision	REQUIRED_FOR_VS001	Draft/review/published lifecycle	VSAC-004-005	WF-004-006	PostgreSQL lesson_revisions	draft mutable; published immutable	YES
ENT-KNO-006	MOD-KNO	PublicationDecision	REQUIRED_FOR_VS001	Atomic authority-gated publication	VSAC-004-003;VSAC-004-004;VSAC-004-005	WF-004-005;WF-004-006	lesson_revisions state/review fields	final immutable	YES
ENT-KNO-008	MOD-KNO	LessonCitationSet	REQUIRED_FOR_VS001	Binds technical claim IDs into digest	VSAC-004-002	WF-004-004	lesson_revisions.citations	published immutable	YES
ENT-CUR-003	MOD-CUR	CapabilityPlacement	REQUIRED_FOR_VS001	Preserves CAP-D03-03-01	VSAC-004-001	WF-004-007	PostgreSQL curriculum_placements	revisioned	YES
ENT-CUR-004	MOD-CUR	LifecyclePlacement	REQUIRED_FOR_VS001	Records complete adaptive lifecycle	VSAC-004-001	WF-004-007	curriculum_placements.lifecycle	revisioned	YES
ENT-ENT-009	MOD-ENT	PrincipalSnapshot	REQUIRED_FOR_VS001	Immutable scenario principal	VSAC-004-006	WF-004-012	enterprise_baseline_revisions.snapshot	published immutable	YES
ENT-ENT-010	MOD-ENT	TokenUserSid	REQUIRED_FOR_VS001	Unambiguous token user SID	VSAC-004-006	WF-004-012	enterprise baseline/scenario input	published immutable	YES
ENT-ENT-011	MOD-ENT	TokenGroupSnapshot	REQUIRED_FOR_VS001	Ordered group attributes	VSAC-004-007	WF-004-012	enterprise baseline/scenario input	published immutable	YES
ENT-ENT-013	MOD-ENT	DeclaredPrivilegeSet	REQUIRED_FOR_VS001	Makes unsupported privilege state explicit	VSAC-004-008	WF-004-012	scenario input	published immutable	YES
ENT-ENT-030	MOD-ENT	EnterpriseBaselineRevision	REQUIRED_FOR_VS001	Isolated immutable run input	VSAC-004-020	WF-004-011	PostgreSQL enterprise_baseline_revisions	published immutable	YES
ENT-ENT-031	MOD-ENT	ImprovementProposal	REQUIRED_FOR_VS001	Captures suggestion without baseline mutation	VSAC-004-020	WF-004-013	PostgreSQL improvement_proposals	workflow controlled	YES
ENT-ENT-032	MOD-ENT	TargetSecurityDescriptor	REQUIRED_FOR_VS001	Object owner and ordered DACL	VSAC-004-009;VSAC-004-010	WF-004-012	baseline/scenario JSONB typed snapshot	published immutable	YES
ENT-SIM-002	MOD-SIM	ScenarioRevision	REQUIRED_FOR_VS001	Publishes bounded 12-case catalog	VSAC-004-017	WF-004-012	PostgreSQL scenario_revisions	published immutable	YES
ENT-SIM-005	MOD-SIM	ScenarioRun	REQUIRED_FOR_VS001	Owns isolated run/replay state	VSAC-004-018;VSAC-004-019;VSAC-004-020	WF-004-013	PostgreSQL scenario_runs	run-owned final output	YES
