workflow_id	workflow_name	owning_module	participating_modules	trigger	preconditions	terminal_outcomes	audit_requirement	v1_scope	vs001_participation	status
WF-004-001	Owner authentication	MOD-IAM	MOD-IAM;MOD-PLT	Owner submits credentials	Owner exists and release bypass is disabled	AUTHENTICATED;REJECTED;RATE_LIMITED	Every success failure rotation and sign-out	V1	Protects all slice actions	CANDIDATE
WF-004-002	Source registration and custody	MOD-SRC	MOD-SRC;MOD-PLT;MOD-IAM	Owner selects authorized file	Visible scope and authorization acknowledgement	CUSTODY_COMMITTED;QUARANTINED_REJECTED	Source digest path-safe outcome and actor	V1	Registers selected VS-001 evidence	CANDIDATE
WF-004-003	Extraction and segmentation	MOD-SRC	MOD-SRC;MOD-PLT	Custody source requests extraction	Source digest valid and parser policy available	EXTRACTED;PARTIAL_WITH_WARNINGS;FAILED	Tool version input output digests warnings	V1	Produces stable VS-001 anchors	CANDIDATE
WF-004-004	Authority and claim review	MOD-SRC	MOD-SRC;MOD-KNO;MOD-IAM	Reviewer opens extracted evidence	Segments and provenance resolve	REVIEWED;DEFERRED;CONFLICT_RECORDED	Decision evidence scope and limitations	V1	Preserves target-version and primary-authority blockers	CANDIDATE
WF-004-005	Knowledge publication	MOD-KNO	MOD-KNO;MOD-SRC;MOD-PLT;MOD-IAM	Reviewer requests publication	Valid draft citations authority review and impact assessment	PUBLISHED;REJECTED;BLOCKED	Revision review actor and impact	V1	Publishes bounded KU knowledge only after blockers	CANDIDATE
WF-004-006	Lesson structured editing and publication	MOD-KNO	MOD-KNO;MOD-CUR;MOD-PLT;MOD-IAM	Owner edits lesson in context	Published base or new draft and block registry available	DRAFT_SAVED;PUBLISHED;REJECTED	Block diff provenance and decision	V1	Creates draft versus published KU-AD-02 lesson	CANDIDATE
WF-004-007	Daily queue selection	MOD-LRN	MOD-LRN;MOD-CUR;MOD-KNO;MOD-PLT	Owner opens daily workspace	Goals prerequisites attempts mastery and reviews available	QUEUE_PRESENTED;NO_ELIGIBLE_ITEM	Ranking reason and configuration revision	V1	Selects VS-001 lesson practice or review	CANDIDATE
WF-004-008	Micro practice attempt	MOD-LRN	MOD-LRN;MOD-CUR;MOD-EVD	Owner starts practice	Eligible KU and current definition	COMPLETED;FAILED;ABANDONED	Inputs outcome and evidence links	V1	Exercises access decision reasoning	CANDIDATE
WF-004-009	Scenario authoring and publication	MOD-SIM	MOD-SIM;MOD-ENT;MOD-CUR;MOD-PLT;MOD-IAM	Owner creates or edits scenario	Referenced baseline catalog and rule schemas available	DRAFT_SAVED;PUBLISHED;BLOCKED	Graph diff validations and reviewer	V1	Authors VS-001 decision scenario	CANDIDATE
WF-004-010	Scenario package round trip	MOD-SIM	MOD-SIM;MOD-PLT	Owner exports or imports package	Published or draft scenario and package policy	EXPORTED;IMPORTED_AS_DRAFT;REJECTED	Manifest digests schema and actor	V1	Portable VS-001 scenario definition	CANDIDATE
