security_requirement_id	threat	statement	owning_module	priority	scope	acceptance_method	related_requirement_ids	status
SEC-004-001	Malicious untrusted files	Quarantine imports and process them without macro script command or network execution.	MOD-SRC	MUST	V1	Malicious parser fixture and process-policy tests.	PR-004-006	CANDIDATE_UNIMPLEMENTED
SEC-004-002	Path traversal and links	Reject absolute parent device alternate-stream symlink and hardlink package entries after canonical normalization.	MOD-PLT	MUST	V1	Cross-platform traversal archive tests.	PR-004-006;PR-004-030	CANDIDATE_UNIMPLEMENTED
SEC-004-003	Archive bomb and source denial	Enforce file count size compression ratio nesting memory and time limits with cancellable ProcessingRuns.	MOD-PLT	MUST	V1	Limit boundary and cancellation tests.	PR-004-006;PR-004-028	CANDIDATE_UNIMPLEMENTED
SEC-004-004	MIME confusion	Compare declared type extension signature and parser result and quarantine mismatch.	MOD-SRC	MUST	V1	Polyglot and mismatch fixtures.	PR-004-006	CANDIDATE_UNIMPLEMENTED
SEC-004-005	Stored XSS	Render only encoded or allowlist-sanitized structured content under a restrictive content policy.	MOD-KNO	MUST	V1	Stored XSS payload tests and CSP inspection.	PR-004-010;PR-004-032	CANDIDATE_UNIMPLEMENTED
SEC-004-006	Unsafe Markdown HTML	Disable raw active HTML by default and use safe preview conversion or sandboxing.	MOD-KNO	MUST	V1	Markdown HTML sanitizer and preview isolation tests.	PR-004-010	CANDIDATE_UNIMPLEMENTED
SEC-004-007	Command display becomes execution	Provide no host process shell or device execution service from content or simulation controls.	MOD-SIM	MUST	V1	Architecture scan and interaction tests with command strings.	PR-004-040;PR-004-043	CANDIDATE_UNIMPLEMENTED
SEC-004-008	Source leakage	Authorize source access server-side and exclude source bodies tokens and secrets from logs and default exports.	MOD-SRC	MUST	V1	Negative access log and export-scope tests.	PR-004-005;PR-004-029	CANDIDATE_UNIMPLEMENTED
SEC-004-009	Manual AI export scope error	Show itemized bytes sensitivity and redaction before confirmation and hash exactly the confirmed scope.	MOD-AIB	MUST	V1	Export preview versus manifest comparison.	PR-004-022;PR-004-030	CANDIDATE_UNIMPLEMENTED
SEC-004-010	Tampered import package	Verify version manifest file set sizes hashes and package digest before parsing proposals.	MOD-AIB	MUST	V1	Missing extra altered and duplicate entry tests.	PR-004-022;PR-004-030	CANDIDATE_UNIMPLEMENTED
SEC-004-011	Provenance forgery	Resolve every cited entity revision digest and anchor and reject mismatch.	MOD-AIB	MUST	V1	Forged citation and stale revision tests.	PR-004-007;PR-004-022	CANDIDATE_UNIMPLEMENTED
SEC-004-012	Application authorization bypass	Enforce owner policy on every mutation independent of client UI and simulated role.	MOD-IAM	MUST	V1	Route service and direct-command negative tests.	PR-004-003;PR-004-004	CANDIDATE_UNIMPLEMENTED
