criterion_id	statement	implementation_files	test_ids	evidence_files	result	limitations
VS2-AC-001	Stable IDs and approved D05 selection are preserved.	config/vs002.php;database/seeders/Vs002Seeder.php	Vs002WorkspaceTest::all_real_workspaces	AUTHORITY_AND_SOURCE_RESULTS.md	PASS	Only CAP-D05-02-02 and KU-D05-004 selected.
VS2-AC-002	Current primary authorities are recorded and each technical claim is bounded.	docs/architecture/VS002_WEB_API_AUTHORITY_BASELINE.md;planning/task008/VS002_AUTHORITY_CLAIMS.tsv	Vs002WorkspaceTest::all_real_workspaces	AUTHORITY_AND_SOURCE_RESULTS.md	PASS	Reviewed web snapshots are metadata and claim records, not archived full pages.
VS2-AC-003	A reviewed, cited lesson moves through real draft/review/publication states.	app/Modules/Knowledge/Publication/LessonRevisionWorkflow.php;app/Http/Controllers/Vs002Controller.php	Vs002WorkspaceTest::lesson_workflow	PUBLICATION_WORKFLOW_RESULTS.md	PASS	Human external approval remains outside the application workflow.
VS2-AC-004	Published lesson revision is immutable and restore creates a new draft.	app/Modules/Platform/Support/ImmutableWhenFinal.php;LessonRevisionWorkflow.php	Vs002WorkspaceTest::lesson_workflow	PUBLICATION_WORKFLOW_RESULTS.md	PASS	None.
VS2-AC-005	Request context and each trust boundary are explicit and versioned.	WebAuthorizationDecisionEngine.php;EndpointContractRevision.php	WebAuthorizationDecisionEngineTest	REQUEST_AUTHORIZATION_RESULTS.md	PASS	Synthetic request only.
VS2-AC-006	Authentication and authorization are evaluated as separate steps.	WebAuthorizationDecisionEngine.php	WebAuthorizationDecisionEngineTest::CASE-WEB-004;CASE-WEB-006	REQUEST_AUTHORIZATION_RESULTS.md	PASS	No token or public API implementation.
VS2-AC-007	Owner positive path returns ALLOW with deterministic trace.	WebAuthorizationDecisionEngine.php	WebAuthorizationDecisionEngineTest::CASE-WEB-001	REQUEST_AUTHORIZATION_RESULTS.md	PASS	SIMULATED.
VS2-AC-008	Vulnerable cross-owner path incorrectly allows access and creates a finding.	WebAuthorizationDecisionEngine.php;Vs002EvidenceService.php	Vs002LifecycleTest::vulnerable_request	DETECTION_FINDING_RESULTS.md	PASS	Deliberate synthetic vulnerable revision only.
VS2-AC-009	Secure policy denies the same cross-owner request.	WebAuthorizationDecisionEngine.php;Vs002SimulationService.php	WebAuthorizationDecisionEngineTest::CASE-WEB-003;Vs002LifecycleTest::remediation	REMEDIATION_AND_VERIFICATION_RESULTS.md	PASS	SIMULATED.
VS2-AC-010	Client-supplied role/owner fields do not influence server-side authorization.	WebAuthorizationDecisionEngine.php	WebAuthorizationDecisionEngineTest::CASE-WEB-006;Vs002LifecycleTest::replay	REQUEST_AUTHORIZATION_RESULTS.md	PASS	Fields retained only as bounded ignored context.
VS2-AC-011	Action/method/resource mapping is explicit and bounded.	EndpointContractRevision.php;WebAuthorizationDecisionEngine.php	WebAuthorizationDecisionEngineTest::CASE-WEB-007	REQUEST_AUTHORIZATION_RESULTS.md	PASS	One GET contract only.
VS2-AC-012	Missing/malformed/unsupported state never produces a guessed ALLOW.	WebAuthorizationDecisionEngine.php	WebAuthorizationDecisionEngineTest::CASE-WEB-008;CASE-WEB-009;CASE-WEB-010	REQUEST_AUTHORIZATION_RESULTS.md	PASS	Unsupported remains distinct from deny.
VS2-AC-013	Response serialization excludes non-approved sensitive fields.	WebAuthorizationDecisionEngine.php;config/vs002.php	WebAuthorizationDecisionEngineTest::CASE-WEB-011	SAFE_RENDERING_SECURITY_RESULTS.md	PASS	No general serializer framework claim.
VS2-AC-014	Security events/findings are deterministic and redact secrets.	Vs002EvidenceService.php;WebAuthorizationDecisionEngine.php	WebAuthorizationDecisionEngineTest;Vs002LifecycleTest::vulnerable_request	DETECTION_FINDING_RESULTS.md	PASS	Fallback secret scan is narrower than gitleaks.
VS2-AC-015	Remediation creates a new immutable policy revision.	Vs002SimulationService.php;AuthorizationPolicyRevision.php	Vs002LifecycleTest::remediation	REMEDIATION_AND_VERIFICATION_RESULTS.md	PASS	Review candidate, not approved policy.
VS2-AC-016	Verification binds vulnerable run, remediation revision, and fixed run.	Vs002SimulationService.php;Vs002EvidenceService.php	Vs002LifecycleTest::remediation;Vs002WorkspaceTest::remediation_routes	REMEDIATION_AND_VERIFICATION_RESULTS.md	PASS	Synthetic fixed run.
VS2-AC-017	Replay is pinned to exact scenario/policy/rule/baseline revisions.	Vs002SimulationService.php	Vs002LifecycleTest::replay	SCENARIO_RUN_ISOLATION_RESULTS.md	PASS	None.
VS2-AC-018	Scenario runs do not mutate the Enterprise Baseline.	Vs002Lifecycle.php	Vs002LifecycleTest::vulnerable_request	SCENARIO_RUN_ISOLATION_RESULTS.md	PASS	Digest equality guard.
VS2-AC-019	All evidence is origin-labelled SIMULATED and actor-bound.	Vs002EvidenceService.php;database/migrations/2026_07_22_000008_create_vs002_web_authorization_tables.php	Vs002LifecycleTest::vulnerable_request	EVIDENCE_AND_MASTERY_RESULTS.md	PASS	No real-lab evidence.
VS2-AC-020	Mastery requires positive, negative, remediation, verification, provenance, and replay evidence.	Vs002LearningService.php;database/seeders/Vs002Seeder.php	PHPStan;Vs002LifecycleTest;Vs002WorkspaceTest	EVIDENCE_AND_MASTERY_RESULTS.md	PASS	Full mastery path enforced in service; no UI auto-award.
VS2-AC-021	Actual failures create specific ReviewTriggers.	Vs002LearningService.php	Vs002WorkspaceTest::structured_practice;Vs002LifecycleTest::vulnerable_request	EVIDENCE_AND_MASTERY_RESULTS.md	PASS	Eleven registered failure classes.
VS2-AC-022	Lesson/request/trace rendering keeps XSS markers inert.	LessonRevisionWorkflow.php;resources/js/pages/Vs002/LessonReader.vue;WebDecisionTrace.vue	Vs002SafeRendering.spec.ts;Vs002WorkspaceTest::lesson_workflow	SAFE_RENDERING_SECURITY_RESULTS.md	PASS	Vitest jsdom DOM proof; in-app browser screenshot blocked separately under AC-023.
VS2-AC-023	Arabic RTL, technical LTR, keyboard, focus, mobile, and overflow gates pass.	resources/css/app.css;resources/js/pages/Vs002	ESLint;vue-tsc;Vitest;Vite	FRONTEND_RTL_ACCESSIBILITY_RESULTS.md	BLOCKED	Local background server launch rejected by execution approval environment; required in-app browser screenshots and live viewport/zoom observations not fabricated.
VS2-AC-024	VS-001 regressions and corrected criteria pass; no live exploit, scanner, connector, AI, or future slice is implemented.	app;tests;planning/task008/VS001_EXTERNAL_ACCEPTANCE_RECHECK.tsv	full_php_suite;architecture_scan	AUTHENTICATION_AND_SECURITY_REGRESSION.md	PASS	Docker unavailable; no Docker PASS claimed.
