original_relative_path	copied_relative_path	source_sha256	file_size_bytes	review_depth	reviewed_line_or_page_ranges	semantic_evidence_ids	copy_status
product-charter/Pasted text(16).txt	reviewed-source-copies/product-charter/Pasted text(16).txt	e606d50c99713c7f19c2f878b3a7fa37f7b170a76448c07fd75f473af1d8e68e	50937	REVIEWED_FULL	lines 1-1876	SE-003-001	VERIFIED_SHA256_MATCH
ad-identity-pilot/PILOT_CONTROL.md	reviewed-source-copies/ad-identity-pilot/PILOT_CONTROL.md	b48cd90dc963355ee4a433a084c59ec17a247c513e0d2ed04b0ce38ea9dbd865	21905	REVIEWED_FULL	lines 1-416	SE-003-002	VERIFIED_SHA256_MATCH
ad-identity-pilot/SOURCE_DECISIONS.md	reviewed-source-copies/ad-identity-pilot/SOURCE_DECISIONS.md	78426c7e34055bbe11c7a3c498ffacf11fd8a625ef1b7ed4fc8a49ac6922da5b	20551	REVIEWED_FULL	lines 1-220	SE-003-003	VERIFIED_SHA256_MATCH
ad-identity-pilot/KNOWLEDGE_UNITS.md	reviewed-source-copies/ad-identity-pilot/KNOWLEDGE_UNITS.md	092502c2975ec2f79ebbbdbe03e26740a5e8ebf934cd9308aafffd678f1ce582	27759	REVIEWED_FULL	lines 1-884	SE-003-004	VERIFIED_SHA256_MATCH
ad-identity-pilot/REVIEW_QUEUE.md	reviewed-source-copies/ad-identity-pilot/REVIEW_QUEUE.md	fe0803e111d5a61d7fa0ffff71ac7b39a04505f154a99730b341b2136c560f8e	8534	REVIEWED_FULL	lines 1-186	SE-003-005	VERIFIED_SHA256_MATCH
historical-platform/FUTURE_PLATFORM_VISION_AND_REQUIREMENTS.md	reviewed-source-copies/historical-platform/FUTURE_PLATFORM_VISION_AND_REQUIREMENTS.md	7dd812c72ac628812c1a456fb0786d5e784a31ac5244d9ec4a53523bb394d864	52459	REVIEWED_FULL	lines 1-2281	SE-003-006	VERIFIED_SHA256_MATCH
historical-platform/CARE_Old_Project_Deep_Audit_AR.md	reviewed-source-copies/historical-platform/CARE_Old_Project_Deep_Audit_AR.md	616c84a3d9090caa3afa290f42869833f50803162cff8cd7a18402c6855efb48	40913	REVIEWED_FULL	lines 1-1407	SE-003-007	VERIFIED_SHA256_MATCH
chatgpt-project/Canonical_Knowledge_Vault_READY_FINAL/00_Control_and_Indexes/CKV_ACCEPTANCE_STATUS.md	reviewed-source-copies/chatgpt-project/Canonical_Knowledge_Vault_READY_FINAL/00_Control_and_Indexes/CKV_ACCEPTANCE_STATUS.md	e655fabc241eb6f7b0598fc29a9537c1a9cc406c2b0c876bc5f35c6a3d0cc89e	14319	REVIEWED_FULL	lines 1-123	SE-003-008	VERIFIED_SHA256_MATCH
chatgpt-project/Canonical_Knowledge_Vault_READY_FINAL/00_Control_and_Indexes/CKV_CANONICAL_FILE_MAP.csv	reviewed-source-copies/chatgpt-project/Canonical_Knowledge_Vault_READY_FINAL/00_Control_and_Indexes/CKV_CANONICAL_FILE_MAP.csv	bcabdf00caff30fc19d44ce55a66c0b6ec88743c79f66ff1bc0ab2b58eb857d9	19662	REVIEWED_FULL	lines 1-118	SE-003-009	VERIFIED_SHA256_MATCH
chatgpt-project/Canonical_Knowledge_Vault_READY_FINAL/00_Control_and_Indexes/CKV_CANONICAL_FILE_MAP.md	reviewed-source-copies/chatgpt-project/Canonical_Knowledge_Vault_READY_FINAL/00_Control_and_Indexes/CKV_CANONICAL_FILE_MAP.md	db57a611b227114c32493fe1b95bd03e5c5a52b21041720cbca3ec21398a3b98	21354	REVIEWED_FULL	lines 1-123	SE-003-010	VERIFIED_SHA256_MATCH
