criterion_id	implementation_files	test_ids	evidence_files	result	limitations
VSAC-004-001	config/vs001.php;database/seeders/Vs001Seeder.php	Vs001WorkspaceTest::all_workspaces_are_owner_only_and_render_real_seeded_data	planning/task007/VS001_ENTITY_SCOPE.tsv	PASS	No IDs changed
VSAC-004-002	database/seeders/Vs001Seeder.php;app/Modules/SourceGovernance/Models/SourceRecord.php	Vs001WorkspaceTest::all_workspaces_are_owner_only_and_render_real_seeded_data	planning/task007/VS001_AUTHORITY_CLAIMS.tsv;review-packets/vs001-007/rendered/vs001-source-review-desktop.png	PASS	Internal support remains non-authoritative
VSAC-004-003	app/Modules/Knowledge/Publication/LessonRevisionWorkflow.php	Vs001PublicationWorkflowTest::publication_is_blocked_without_approved_authority	docs/architecture/VS001_WINDOWS_AUTHORITY_BASELINE.md	PASS	Baseline narrow to Win11 24H2 FILE subset
VSAC-004-004	app/Modules/Knowledge/Publication/LessonRevisionWorkflow.php	Vs001PublicationWorkflowTest::publication_is_blocked_without_approved_authority	planning/task007/VS001_AUTHORITY_CLAIMS.tsv	PASS	Only reviewed Microsoft claims unlock publication
VSAC-004-005	app/Modules/Knowledge/Publication/LessonRevisionWorkflow.php;app/Modules/Platform/Support/ImmutableWhenFinal.php	Vs001PublicationWorkflowTest::return_approve_publish_immutability_and_restore_are_enforced	review-packets/vs001-007/REVISION_AND_PUBLICATION_RESULTS.md	PASS	Restore creates a new draft
VSAC-004-006	app/Modules/Simulator/Authorization/WindowsAuthorizationDecisionEngine.php	WindowsAuthorizationDecisionEngineTest::bounded_authorization_cases	planning/task007/VS001_SCENARIO_CASES.tsv	PASS	Malformed/missing SID is insufficient
VSAC-004-007	app/Modules/Simulator/Authorization/WindowsAuthorizationDecisionEngine.php	WindowsAuthorizationDecisionEngineTest::bounded_authorization_cases	planning/task007/VS001_RULE_CATALOG.tsv	PASS	Enabled and deny-only attributes only
VSAC-004-008	app/Modules/Simulator/Authorization/WindowsAuthorizationDecisionEngine.php	WindowsAuthorizationDecisionEngineTest::bounded_authorization_cases	planning/task007/VS001_RULE_CATALOG.tsv	PASS	Privilege semantics explicitly unsupported
VSAC-004-009	database/seeders/Vs001Seeder.php;app/Modules/Simulator/Authorization/WindowsAuthorizationDecisionEngine.php	WindowsAuthorizationDecisionEngineTest::bounded_authorization_cases	planning/task007/VS001_SCENARIO_CASES.tsv	PASS	FILE object only
VSAC-004-010	app/Modules/Simulator/Authorization/WindowsAuthorizationDecisionEngine.php	WindowsAuthorizationDecisionEngineTest::ordered_trace_records_non_applicable_and_mask_accumulation_steps	review-packets/vs001-007/rendered/vs001-decision-trace-closeup.png	PASS	Explicit ordered DACL subset
VSAC-004-011	app/Modules/Simulator/Authorization/WindowsAuthorizationDecisionEngine.php	WindowsAuthorizationDecisionEngineTest::ordered_trace_records_non_applicable_and_mask_accumulation_steps	review-packets/vs001-007/rendered/vs001-decision-trace-closeup.png	PASS	Unsupported types stop with explicit state
VSAC-004-012	app/Modules/Simulator/Authorization/WindowsAuthorizationDecisionEngine.php	WindowsAuthorizationDecisionEngineTest::bounded_authorization_cases	planning/task007/VS001_RULE_CATALOG.tsv	PASS	Remaining mask preserved
VSAC-004-013	app/Modules/Simulator/Authorization/WindowsAuthorizationDecisionEngine.php	WindowsAuthorizationDecisionEngineTest::bounded_authorization_cases	docs/architecture/VS001_WINDOWS_AUTHORITY_BASELINE.md	PASS	One approved FILE mapping
VSAC-004-014	app/Modules/Simulator/Authorization/WindowsAuthorizationDecisionEngine.php	WindowsAuthorizationDecisionEngineTest::bounded_authorization_cases	review-packets/vs001-007/SIMULATOR_AND_RULE_RESULTS.md	PASS	Decisive deny and cumulative allow covered
VSAC-004-015	app/Modules/Simulator/Authorization/WindowsAuthorizationDecisionEngine.php	WindowsAuthorizationDecisionEngineTest::bounded_authorization_cases	planning/task007/VS001_SCENARIO_CASES.tsv	PASS	No guessed outcomes
VSAC-004-016	app/Modules/Simulator/Authorization/WindowsAuthorizationDecisionEngine.php	WindowsAuthorizationDecisionEngineTest::same_input_revision_seed_and_actions_are_digest_deterministic;WindowsAuthorizationDecisionEngineTest::ordered_trace_records_non_applicable_and_mask_accumulation_steps	review-packets/vs001-007/rendered/vs001-decision-trace-closeup.png	PASS	Run ID stored but excluded from replay decision digest
VSAC-004-017	database/seeders/Vs001Seeder.php	WindowsAuthorizationDecisionEngineTest::bounded_authorization_cases;Vs001WorkspaceTest::all_workspaces_are_owner_only_and_render_real_seeded_data	planning/task007/VS001_SCENARIO_CASES.tsv	PASS	12 published bounded cases
VSAC-004-018	app/Application/Vs001/Vs001Lifecycle.php	Vs001LifecycleTest::run_is_idempotent_isolated_and_issues_bound_simulated_evidence	review-packets/vs001-007/EVIDENCE_AND_MASTERY_RESULTS.md	PASS	Origin constraint is SIMULATED only
VSAC-004-019	app/Application/Vs001/Vs001Lifecycle.php	Vs001LifecycleTest::replay_is_deterministic_and_improvement_is_only_a_proposal	review-packets/vs001-007/SCENARIO_RUN_ISOLATION_RESULTS.md	PASS	Same revision/input/seed digest matches
VSAC-004-020	app/Application/Vs001/Vs001Lifecycle.php	Vs001LifecycleTest::replay_is_deterministic_and_improvement_is_only_a_proposal	docs/architecture/VS001_RULE_ENGINE_BOUNDARIES.md	PASS	Proposal only; baseline hash unchanged
