ux_requirement_id	statement	workspace	priority	scope	acceptance_method	related_requirement_ids	status
UX-004-001	All principal views shall use one unified global navigation workspace header and persistent status region.	GLOBAL	MUST	V1	Navigate all eight views without losing product identity or state labels.	PR-004-023;PR-004-034	CANDIDATE_UNIMPLEMENTED
UX-004-002	Draft published imported reviewed unresolved simulated and real-lab states shall use text icon and accessible label not color alone.	GLOBAL	MUST	V1	Inspect rendered states and accessible names.	PR-004-014;PR-004-042	CANDIDATE_UNIMPLEMENTED
UX-004-003	Every interactive control shall be reachable and operable by keyboard in logical order.	GLOBAL	MUST	V1	Keyboard-only walkthrough of principal flows.	PR-004-034	CANDIDATE_UNIMPLEMENTED
UX-004-004	Visible focus shall meet contrast and not be clipped or obscured.	GLOBAL	MUST	V1	Focus-state screenshot and manual contrast review.	PR-004-034	CANDIDATE_UNIMPLEMENTED
UX-004-005	Arabic paragraphs and navigation labels shall use native RTL and right alignment.	GLOBAL	MUST	V1	DOM dir inspection and RTL screenshot review.	PR-004-033	CANDIDATE_UNIMPLEMENTED
UX-004-006	English identifiers paths APIs commands code logs and packet fields shall be isolated LTR without reversing strings.	GLOBAL	MUST	V1	Copy comparison DOM dir inspection and mixed-text screenshot.	PR-004-033	CANDIDATE_UNIMPLEMENTED
UX-004-007	Desktop tablet and mobile layouts shall reflow without horizontal page clipping and shall preserve primary actions.	GLOBAL	MUST	V1	Viewport tests at 1440x1000 1024x768 and 390x844.	PR-004-034	CANDIDATE_UNIMPLEMENTED
UX-004-008	Dashboard shall explain current queue priorities open reviews evidence gaps and recent audited work.	DASHBOARD	SHOULD	V1	Content and responsive navigation review.	PR-004-021	CANDIDATE_UNIMPLEMENTED
UX-004-009	Source review shall expose library context segment content and provenance authority inspector in coordinated panes.	SOURCE_LIBRARY	MUST	V1	Three-pane desktop and stacked mobile walkthrough.	PR-004-005;PR-004-007	CANDIDATE_UNIMPLEMENTED
UX-004-010	Knowledge Studio shall support study inline structured review source comparison and revision comparison without losing lesson context.	KNOWLEDGE_STUDIO	MUST	V1	Mode-switch and retained-context tests.	PR-004-009;PR-004-010	CANDIDATE_UNIMPLEMENTED
UX-004-011	Block editing shall demonstrate insertion reordering nesting validation and draft versus published comparison.	KNOWLEDGE_STUDIO	MUST	V1	Interactive prototype and later component tests.	PR-004-010	CANDIDATE_UNIMPLEMENTED
UX-004-012	Curriculum workspace shall show Domain Cluster Capability KU hierarchy prerequisites evidence needs and coverage limitations.	CURRICULUM	SHOULD	V1	Hierarchy navigation and limitation-label review.	PR-004-002;PR-004-008;PR-004-038	CANDIDATE_UNIMPLEMENTED
UX-004-013	Guided Lab shall show scenario context simulated role device inputs deterministic trace evidence origin hints reset and replay.	GUIDED_LAB	MUST	V1	VS-001 desktop mobile and interaction walkthrough.	PR-004-012;PR-004-014;PR-004-017;PR-004-035	CANDIDATE_UNIMPLEMENTED
UX-004-014	Enterprise Designer and Scenario Studio shall present reusable catalogs graph timeline validation and baseline-run separation.	SCENARIO_STUDIO	MUST	V1	Graph timeline and baseline warning walkthrough.	PR-004-015;PR-004-016;PR-004-018	CANDIDATE_UNIMPLEMENTED
UX-004-015	Evidence and Mastery shall show evidence origin criteria decision mastery rule revision failures and scheduled review.	EVIDENCE_MASTERY	MUST	V1	State transition and failure-review walkthrough.	PR-004-014;PR-004-020;PR-004-021	CANDIDATE_UNIMPLEMENTED
UX-004-016	Manual AI Bridge shall show selected export scope manifest statuses validation failures proposed diff and human decisions.	MANUAL_AI_BRIDGE	MUST	V1	Full manual status walkthrough with invalid import state.	PR-004-022;PR-004-030	CANDIDATE_UNIMPLEMENTED
UX-004-017	Toggle and collapsible lesson blocks shall be native editable controls with correct expanded state.	KNOWLEDGE_STUDIO	SHOULD	V1	Keyboard toggle aria-expanded and nested-content tests.	PR-004-010	CANDIDATE_UNIMPLEMENTED
UX-004-018	Every technical claim and generated result shall expose provenance or a truthful unresolved limitation.	GLOBAL	MUST	V1	Inspect claim result and evidence detail views.	PR-004-007;PR-004-014	CANDIDATE_UNIMPLEMENTED
UX-004-019	Destructive actions shall be visible explicit confirmable and reversible where the lifecycle permits.	GLOBAL	MUST	V1	Destructive-action inventory and confirmation tests.	PR-004-009;PR-004-031	CANDIDATE_UNIMPLEMENTED
UX-004-020	Simulated output shall never use an unqualified real or production label.	GUIDED_LAB	MUST	V1	Text scan and evidence-label visual review.	PR-004-014;PR-004-040	CANDIDATE_UNIMPLEMENTED
UX-004-021	Semantic landmarks headings labels tables status messages and error associations shall support assistive technology.	GLOBAL	MUST	V1	Automated accessibility tree and manual screen-reader spot checks.	PR-004-034	CANDIDATE_UNIMPLEMENTED
UX-004-022	Code command log and output blocks shall remain copyable in logical LTR order.	GLOBAL	MUST	V1	Copy-paste equality test for mixed Arabic and technical content.	PR-004-033;PR-004-040	CANDIDATE_UNIMPLEMENTED

