unresolved_id	decision_or_gap	impact	owner_module	required_evidence	resolution_trigger	blocks	status
UR-004-001	Select the target Windows baseline and object-scope boundary for VS-001.	Without it rule applicability and version claims are ambiguous.	MOD-SIM	Approved Windows edition version object manager and supported semantics decision.	Before Task 007 technical rule/content publication.	VSAC-004-003;VSAC-004-008;VSAC-004-013	OPEN_BLOCKER
UR-004-002	Select and review applicable Microsoft Open Specifications or official documentation for VS-001.	Local sources cannot establish authoritative Windows semantics.	MOD-SRC	Claim-level primary references with version applicability and exact anchors.	Before Task 007 technical publication or real-transfer claims.	VSAC-004-004;VSAC-004-008;VSAC-004-013;VSAC-004-014	OPEN_BLOCKER
UR-004-003	Empirically calibrate mastery retention and transfer thresholds.	Premature numeric thresholds would create false precision.	MOD-LRN	Pilot attempt evidence reviewer analysis and revisioned calibration decision.	During approved vertical slices before final release claims.	VSAC-004-022;VSAC-004-023	OPEN_PROVISIONAL
UR-004-004	Select current primary technical and regulatory authorities by Domain and claim.	Limits content publication and external truth claims beyond slice evidence.	MOD-SRC	Approved authority register additions with exact applicability.	Before each affected content publication.	DOMAIN_CONTENT_PUBLICATION	OPEN
UR-004-005	Measure Arabic and English PostgreSQL full-text configurations.	Search relevance may differ by language and technical token.	MOD-PLT	Representative query corpus precision recall and latency results.	Task 010 search acceptance.	SCOPE-004-016	OPEN
UR-004-006	Set backup encryption retention RPO and RTO expectations.	Recoverability and privacy acceptance values remain incomplete.	MOD-PLT	Local threat model storage constraints timed restore drill and user decision.	Task 010 backup acceptance.	SCOPE-004-019	OPEN
UR-004-007	Decide whether a development-only authentication bypass is necessary.	An unnecessary bypass increases release risk.	MOD-IAM	Task 006 development workflow evidence and fail-closed design.	Before Task 006 foundation acceptance.	PR-004-041	OPEN
UR-004-008	Select exact supported framework runtime database and container versions.	Compatibility cannot be safely chosen from memory.	MOD-PLT	Task 006 environment inspection support matrices lockfiles and tests.	At Task 006 start.	PR-004-025	OPEN_BLOCKER_TASK006
UR-004-009	Define any future controlled LAN or multi-user mode.	Remote exposure changes identity privacy TLS backup and audit boundaries.	MOD-IAM	Approved use case threat model access model and operational plan.	Post-v1 decision only.	SCOPE-004-002;SCOPE-004-027	DEFERRED
UR-004-010	Decide whether to authorize OCR for three university PDFs and AES parsing for one deferred reference.	Those sources remain unreviewed and cannot support claims.	MOD-SRC	Explicit later source-processing authorization and truthful extraction evidence.	Only when a prioritized claim requires them.	NONE_FOR_V1_FOUNDATION	DEFERRED

